6;120;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;50;55;60;65;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;7;7;7;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;1;2;7;10;7;9;4;2;10;2;5;10;10;4;8;9;1;5;8;10;10;8;2;3;6;3;3;2;8;6;9;1;6;4;6;10;7;5;6;9;4;7;9;5;4;5;5;2;10;10;10;2;2;4;8;9;3;7;8;7;5;1;9;3;10;1;10;5;5;6;7;1;2;2;7;1;9;5;2;9;4;2;10;7;8;7;4;1;3;8;9;5;8;6;5;9;3;3;2;10;2;7;6;7;5;10;3;5;6;4;8;8;9;5;4;4;1;4;1
6;2;4;5;7;5;4;6;7;5;7;7;8;3;6;9;6;6;8;10;6;3;1;4;7;4;4;3;7;8;10;9;3;9;5;1;2;10;7;7;7;8;5;5;7;2;6;2;3;6;10;7;1;9;7;3;3;8;2;1;8;9;3;6;4;6;5;1;9;3;3;3;2;5;7;8;6;2;9;3;5;6;2;8;8;4;8;5;4;10;5;1;2;8;9;2;6;10;8;2;2;3;6;8;10;6;1;10;6;4;1;5;2;4;5;3;4;5;1;4
3;7;8;7;1;6;10;10;9;7;1;3;4;6;10;9;6;1;5;5;10;10;10;1;7;6;3;10;8;3;6;5;5;3;2;10;7;10;3;7;7;7;8;6;2;8;8;2;7;10;1;5;7;3;2;3;8;9;8;1;8;9;7;8;9;4;5;10;9;7;4;7;2;5;1;2;2;4;10;10;6;10;5;8;6;6;1;6;10;10;2;8;5;9;3;6;2;3;9;8;9;7;7;10;9;2;7;3;6;4;9;1;2;2;10;7;4;8;9;1
2;3;1;6;6;7;9;4;4;1;6;1;2;1;7;1;8;3;3;4;10;5;7;8;10;8;5;6;10;10;1;1;3;9;2;10;2;9;5;10;9;6;1;6;10;1;6;2;10;7;5;8;9;7;1;10;7;6;9;7;8;8;3;3;5;8;3;10;6;5;5;4;6;4;2;4;8;10;4;3;5;6;4;8;4;3;4;7;7;3;9;5;10;4;4;8;2;6;8;8;1;8;9;2;7;1;4;8;3;5;2;9;6;5;10;4;9;5;6;9
5;7;4;1;7;10;1;5;1;10;9;6;2;4;3;10;4;6;5;8;4;2;10;3;7;6;7;10;1;9;7;5;6;8;1;2;5;5;7;3;3;4;5;10;6;7;10;9;9;9;10;3;6;5;5;10;1;8;3;3;6;1;9;6;2;6;5;7;4;9;4;8;8;9;3;1;5;8;1;1;9;4;1;4;6;5;7;2;1;6;6;6;8;8;6;5;8;4;7;6;10;7;1;9;7;10;6;3;10;4;3;5;6;4;9;5;1;8;1;7
1;5;7;7;3;8;9;8;1;7;9;6;10;6;9;6;3;9;1;2;7;2;10;8;2;6;8;5;9;7;3;5;8;7;7;8;10;2;3;5;3;7;5;8;3;8;1;2;7;1;1;5;2;4;4;4;1;5;7;1;1;4;5;5;9;9;5;9;9;5;2;9;10;6;1;7;8;10;1;10;7;2;8;8;1;7;7;9;8;2;10;6;3;3;4;4;3;5;5;7;9;1;2;2;9;1;10;10;5;9;5;1;6;6;9;6;8;2;4;10
0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
