4;40;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;30;35;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;7;6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;10;5;8;2;5;10;9;1;5;3;1;8;5;1;9;6;2;3;3;3;9;4;7;1;6;1;3;4;5;1;9;7;2;1;8;10;10;9;4
4;6;3;10;6;5;6;8;4;3;4;9;5;5;9;9;2;10;10;4;4;2;3;6;3;9;5;2;2;4;6;4;10;2;5;9;8;8;7;4
4;9;9;9;7;7;4;4;6;7;9;4;5;5;5;7;4;7;8;9;6;5;9;6;6;3;1;3;4;1;3;6;1;6;1;6;6;1;1;1
4;7;1;7;8;9;10;9;3;6;10;5;2;4;3;3;6;1;3;3;4;10;8;7;9;9;4;9;2;5;4;7;1;9;2;7;7;7;8;4
0;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0
0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;1;0;1
1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0
1;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1
0;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1
0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0
0;1;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0
0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;0
