6;80;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
45;50;55;60;65;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;4;4;4;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;3;10;2;7;6;5;5;1;3;5;9;3;5;8;1;5;6;7;5;4;1;1;4;3;5;10;8;7;5;8;2;10;8;6;4;7;5;6;8;4;5;5;8;5;3;9;2;7;5;5;8;1;2;9;3;1;3;2;6;7;9;8;10;2;1;8;8;5;2;9;7;4;9;4;5;6;3;6;1
2;4;1;2;2;8;10;6;2;10;7;6;1;2;8;2;6;10;6;8;2;10;8;3;10;9;5;6;3;1;6;2;3;6;5;7;9;2;2;8;6;1;4;2;3;10;7;8;5;9;5;9;7;2;2;10;1;8;4;2;3;8;6;10;4;1;4;9;10;7;5;3;4;6;6;9;2;7;3;10
5;8;9;7;1;2;2;3;3;10;10;10;8;9;4;1;9;8;3;4;6;10;3;8;3;6;5;9;5;10;8;10;10;5;2;1;10;9;5;2;7;7;2;2;4;7;10;4;7;6;1;5;3;9;10;5;9;9;1;6;3;10;7;4;9;4;7;3;6;8;8;8;8;3;8;8;1;7;8;6
5;1;10;7;7;2;6;9;3;8;7;5;2;7;5;4;8;10;1;6;7;10;5;6;2;3;9;7;5;4;10;2;6;2;3;7;1;4;9;8;7;9;1;10;8;4;9;1;10;3;4;9;9;2;3;4;5;5;5;1;8;5;1;6;3;10;4;7;8;2;3;9;9;10;6;4;3;2;10;5
5;2;6;9;2;4;8;8;2;2;5;1;3;5;3;8;5;7;8;10;10;5;7;5;8;9;3;10;1;7;10;3;8;3;4;4;4;3;5;2;10;10;8;7;4;4;5;6;8;5;8;4;6;3;10;2;1;6;1;9;9;2;1;4;10;7;5;2;3;5;6;5;6;4;9;5;6;7;7;5
7;5;1;10;1;5;8;4;9;3;2;2;1;5;1;2;8;1;5;8;5;2;10;8;4;3;5;6;4;2;1;1;2;8;2;2;7;6;7;8;7;6;10;8;1;7;3;5;10;8;4;5;2;10;1;1;3;9;8;5;9;8;4;9;7;1;3;2;7;7;10;4;1;9;6;3;9;7;8;8
0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
