2;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;9;9;7;10;7;5;2;5;2;4;4;7;1;7
1;1;5;1;10;9;8;7;4;4;2;9;8;9;1
1;0;0;1;1;0;0;1;0;0;0;0;1;0;0
0;0;1;0;1;0;0;0;0;0;0;1;1;0;1
1;0;0;0;1;0;1;0;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;1;1;1;1;0;1;0;0;0;0;0;0
0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
0;0;1;0;1;0;0;0;1;1;1;1;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
0;1;1;0;0;1;0;1;0;1;1;0;0;1;1
1;0;0;1;0;0;0;0;0;1;0;0;1;1;0
1;0;0;0;0;1;0;1;0;0;0;0;0;1;0
