3;20;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;10;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;1;8;4;10;3;3;4;6;3;8;2;1;3;7;2;3;5;2;9
9;1;4;3;5;1;9;10;5;2;2;8;5;1;10;1;4;9;9;9
4;10;4;8;3;1;7;6;1;2;6;8;6;7;3;1;2;1;8;4
0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0
1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0
0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1
0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;0;1;1;0;0
0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1
0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0
0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0
0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;0;1
1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1
1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;0;0;1
1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1
1;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0
1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0
