3;20;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;10;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;7;3;2;3;7;4;2;5;5;10;10;2;10;4;8;7;4;9;4
7;2;5;7;1;9;8;9;9;7;4;8;9;2;9;8;4;4;3;5
9;2;7;7;3;5;3;5;10;2;6;5;9;9;9;4;2;10;1;4
1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0
0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0
1;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0
1;1;0;1;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0
0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;1
0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0
0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1
0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1
0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0
0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0
1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1
1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;1
0;1;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;1
0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0
1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1
