2;15;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;7;6;2;5;10;7;4;1;2;1;10;10;9;2
2;10;3;3;7;10;3;1;4;1;1;7;7;9;9
1;0;0;0;1;1;0;1;0;0;0;1;0;0;0
0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
0;1;0;0;0;1;1;1;1;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;1;1;0;0;0;0;0;1;0;1;1;0;0;0
1;0;1;1;0;0;0;1;0;0;0;0;1;0;0
0;0;0;1;1;0;1;0;1;0;0;0;0;1;1
0;0;0;0;1;0;0;0;0;0;1;0;1;1;1
0;1;1;0;0;0;0;0;0;0;0;0;1;0;1
1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;1;0;1
0;0;0;1;0;1;1;0;0;1;0;1;0;0;1
