3;20;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;10;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;9;9;2;9;9;6;4;10;1;9;7;10;5;3;4;10;2;7;3
4;3;1;6;8;8;4;2;9;2;2;4;1;6;6;8;7;4;4;9
1;4;6;1;6;10;7;5;1;2;7;4;10;2;4;6;3;7;1;5
1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;0
0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;1;0;0;0;1
1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1
0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;0;1;0
1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1
0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
1;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1
1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;0;1;1;0;1
0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0
0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0
0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
0;0;0;1;1;1;0;1;0;0;1;0;1;0;1;1;1;0;0;0
0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1
1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
